"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_glm",0.737373854087089,0.0755790229451552,0.714903764536117,0.148139607192298,0.968943945760122,0.0145699319205487,0.964582813428402,0.0196407064121291,0.950354236406868,0.0399296498901287,0.956906777433093,0.0406855341922112
"fe_clin_glm",0.765979691876751,0.111554644997776,0.757021125116713,0.110474411325266,0.9992394533571,0.0010448059246742,0.996552414905356,0.00349926681955912,1,0,1,0
"fp_clin_glm",0.76348186698922,0.116457307806526,0.725604108309991,0.151985779414619,0.985982195908667,0.0115727202214375,0.993337980646804,0.00572177159642022,0.981779010463221,0.028006668905267,0.993814518814519,0.00633436858053234
"mf_clin_glm",0.716217235379,0.161335279557922,0.719597593582888,0.161036578008301,0.996952380952381,0.00681468335999932,1,0,0.998809523809524,0.00266198568749974,1,0
"sm_clin_glm",0.749049253034547,0.096717376156031,0.681382575757576,0.174612105659736,0.894722349545879,0.220712096353195,0.992666624225448,0.0052372761646174,0.981948899054162,0.0342576621487392,0.998189442136811,0.00193540662022038
"wv_clin_glm",0.74113628936423,0.0762030601208005,0.756734158815041,0.0921759884521477,0.965824346405229,0.015463886857439,0.976385992275698,0.0177050678735082,0.889844804318489,0.2179978480657,0.98324044376676,0.00524036656332976
"clin_only_glm",0.707048054070113,0.0581274448283986,0.642623206858501,0.135807843678268,0.707161000763942,0.0544555403909795,0.705569062473474,0.0668822337014189,0.792879196826565,0.0197482439152777,0.784891979365664,0.032544926404822
"bp_only_glm",0.610988095238095,0.159520986559955,0.595916666666667,0.176363832428559,1,0,1,0,1,0,1,0
"fe_only_glm",0.583216810966811,0.1786313488624,0.608623015873016,0.174019616673743,0.999238095238095,0.00170367083999984,0.995869058229352,0.00529762555402118,1,0,1,0
"fp_only_glm",0.59005753968254,0.171696088998427,0.612140873015873,0.17236967488332,0.9,0.223606797749979,1,0,1,0,1,0
"mf_only_glm",0.606044191919192,0.176677933845025,0.570603715728716,0.185497363480873,1,0,0.999262541380188,0.001010731083523,1,0,0.998343323343323,0.00168778579720264
"sm_only_glm",0.571669648162295,0.176237933187862,0.592231782106782,0.169294632682578,0.999643493761141,0.000797172184491923,0.997724927849928,0.00313310621323701,1,0,0.999206349206349,0.00177465712499983
"wv_only_glm",0.530926767676768,0.203154973360115,0.621955988455988,0.170007974237823,0.998930481283422,0.00239151655347572,1,0,0.9,0.223606797749979,1,0
