"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_lda",0.725323837110602,0.0636683886690044,0.73392432730668,0.0548577649860464,0.965010196502844,0.0129613874585447,0.97137908496732,0.0110493321705273,0.965748695748696,0.0144044769361175,0.982684216368427,0.00616284159758582
"fe_clin_lda",0.764875328919447,0.10842731691924,0.76222951150157,0.106994797625839,0.99854952890247,0.00232946039984187,0.997741448094389,0.00240023208771559,1,0,0.999603174603175,0.000887328562499913
"fp_clin_lda",0.745952105084458,0.0879435111834826,0.746962121212121,0.0779846935611602,0.976726232917409,0.0157143877799648,0.983194455054749,0.0119457082248117,0.984662355188671,0.0102168178286724,0.993168498168498,0.00833770408710033
"mf_clin_lda",0.767182295645531,0.115084700445168,0.758512085137085,0.11447615768823,1,0,1,0,1,0,1,0
"sm_clin_lda",0.740937505305152,0.0852771167858495,0.747378607503607,0.0803563117190357,0.984906852134793,0.0179414112828943,0.987728768780239,0.00967027122136353,0.985640383008804,0.0121108385686063,0.996031746031746,0.0054337555308052
"wv_clin_lda",0.731942343604108,0.0669271291051149,0.749293576521518,0.0752353434922176,0.962885896782956,0.0149418615715831,0.969142507002801,0.0133909262154495,0.979932669669512,0.0243874308941624,0.979354768038979,0.00780079943383605
"clin_only_lda",0.707718052372464,0.0566050717830837,0.707718052372464,0.0566050717830837,0.707718052372464,0.0566050717830837,0.707718052372464,0.0566050717830837,0.79826264378896,0.0121882785225629,0.79826264378896,0.0121882785225629
"bp_only_lda",0.621326776165011,0.151561598886823,0.617183112638995,0.173903062870363,1,0,1,0,1,0,1,0
"fe_only_lda",0.548631631440455,0.204104687048697,0.589496965452848,0.191619916556833,1,0,0.999619047619048,0.000851835419999897,1,0,1,0
"fp_only_lda",0.559383403361345,0.197232377695413,0.616228811221458,0.173917293407724,1,0,1,0,1,0,1,0
"mf_only_lda",0.624047756981581,0.167519552025312,0.586968370681606,0.191211703164155,1,0,1,0,1,0,1,0
"sm_only_lda",0.561857238349885,0.187544268898462,0.615037995501231,0.166325641322371,1,0,0.999619047619048,0.000851835419999897,1,0,1,0
"wv_only_lda",0.547075481707835,0.201957922574714,0.621041295306001,0.177838606297848,1,0,1,0,0.99780701754386,0.00490365784539427,1,0
