"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_svm",0.381340498581878,0.397669005205521,0.439696223316913,0.449107893738341,0.811975668010151,0.40834781080472,0.798246006866696,0.441003777624777,0.963707925280339,0.0111388258207916,0.983249884725747,0.00583080027865396
"fe_clin_svm",0.442998955067921,0.485606832823126,0.407689580534408,0.487608125298208,1,0,0.998119122257053,0.00280384699373016,0.992624144182765,0.00834855327082948,0.995954237333548,0.00741942366527827
"fp_clin_svm",0.248037020450814,0.371361134328981,0.0775134348410211,0.0301506714482087,0.999373040752351,0.00140192349686508,1,0,0.973577343729068,0.0151648524384098,0.987873572149434,0.0107456460630746
"mf_clin_svm",0.603610613524407,0.509795012118944,0.413388192267503,0.517617755183161,1,0,1,0,0.998290598290598,0.0038223384230766,0.99823343961275,0.00258314432333989
"sm_clin_svm",0.0632836990595611,0.0336471907085307,0.420133602030154,0.477197711392666,1,0,0.998746081504702,0.00280384699373016,0.975747144298868,0.016342338377492,0.985067320163872,0.00723725019612573
"wv_clin_svm",0.0856956262128676,0.028507430311124,0.430164949992536,0.469783449028943,0.794920883713987,0.441094145575552,0.998809523809524,0.00266198568749974,0.974953231187714,0.0149931881657841,0.988422681277854,0.00821993479566821
"clin_only_svm",0.315374496193462,0.252207848236113,0.275217383191521,0.278811620141985,0.271733654276758,0.297915978829805,0.188517875802359,0.0814660284057881,0.58488188529223,0.39583438002832,0.554913294368467,0.428461584546362
"bp_only_svm",0.912145469473056,0.0400777529026587,0.897820570234363,0.0639556690800459,1,0,1,0,1,0,1,0
"fe_only_svm",0.949819002836244,0.0420038119651139,0.891606956262129,0.0770466088073423,1,0,1,0,1,0,1,0
"fp_only_svm",0.941383042245111,0.0482572724089531,0.910042543663233,0.0377091165585021,1,0,0.998746081504702,0.00280384699373016,0.999404761904762,0.00133099284374987,0.999404761904762,0.00133099284374987
"mf_only_svm",0.947628377369757,0.0291766855195662,0.801166218838633,0.348597076191859,1,0,1,0,1,0,1,0
"sm_only_svm",0.945930362740708,0.0292101633605042,0.707756754739513,0.391799108585975,1,0,1,0,1,0,0.998809523809524,0.00266198568749974
"wv_only_svm",0.904565979997014,0.0436239160351301,0.87982907896701,0.0154862643181916,1,0,1,0,1,0,1,0
