"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_svm",0.58736719081572,0.413320930214339,0.726848219590867,0.36888926993043,0.787022207367796,0.423645508439305,0.977011193871488,0.0146096370453398,0.98632332579701,0.00541291440322605,0.986617622143938,0.0070342587926413
"fe_clin_svm",0.947132777353366,0.0233401558642568,0.776141509634157,0.378410617994292,0.998217468805704,0.00398586092245952,0.996242084712673,0.00286509540646604,0.998684210526316,0.0029421947072366,0.996929824561404,0.00686512098355198
"fp_clin_svm",0.758634029369323,0.358518384545922,0.924143684746626,0.0324480829717717,0.991321863593922,0.00962488357420342,0.995982004923181,0.00594194797654554,0.991326509747562,0.00927196959986194,0.997382588172062,0.00360772993786105
"mf_clin_svm",0.962866819455055,0.0243446844589564,0.945592224768695,0.0283411481933137,1,0,1,0,1,0,0.999603174603175,0.000887328562499913
"sm_clin_svm",0.435014642220525,0.456547116445867,0.606461771072065,0.479251589836399,0.994041709107886,0.00563061204113345,0.995263114336644,0.00440968137927202,0.991862085283138,0.00968080037106019,0.995739348370927,0.00671406188671764
"wv_clin_svm",0.75395767549444,0.385511122099803,0.746599747474748,0.36519005357562,0.982644660894661,0.0136745582972456,0.984591959511077,0.00809867150794443,0.987556537030221,0.00558019970110995,0.791568928147875,0.439921316486108
"clin_only_svm",0.544488997113997,0.343624591985129,0.455304154995331,0.334553875465278,0.570423531533826,0.340598360122386,0.554226201086495,0.360162468050554,0.586829457092615,0.358865232772047,0.495752463910359,0.367757964209202
"bp_only_svm",0.903045433324845,0.0317156603547992,0.905792366946779,0.0440283800908286,1,0,1,0,1,0,1,0
"fe_only_svm",0.920326945929887,0.0527177101554652,0.889307444189797,0.0358482782491919,1,0,0.998476190476191,0.00340734167999969,1,0,1,0
"fp_only_svm",0.889111832611833,0.0611210333043631,0.891691855530091,0.0334137660020126,1,0,1,0,1,0,0.999206349206349,0.00177465712499983
"mf_only_svm",0.950650974025974,0.0460207343383317,0.917032891944657,0.0578603440914669,1,0,1,0,1,0,1,0
"sm_only_svm",0.878800908242085,0.0589802608171354,0.86760334436805,0.0524485868705244,1,0,1,0,1,0,0.996031746031746,0.00543375553080523
"wv_only_svm",0.918459606569901,0.0241186226765632,0.908054834054834,0.0261330158876609,1,0,1,0,1,0,1,0
