"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_glm",0.65391289744738,0.1113834424782,0.603034034930587,0.144783959589604,0.879064039408867,0.212117767767265,0.980095909837289,0.00939910129519877,0.965290781504575,0.0323035287276006,0.979635759642656,0.0226573196499029
"fe_clin_glm",0.603097477235408,0.143960290870575,0.609180474697716,0.119517302690064,1,0,0.993166890580684,0.00898334754493077,0.991112854450785,0.0121083386599085,1,0
"fp_clin_glm",0.695200776235259,0.0629504855810027,0.662785490371697,0.110152383606837,0.979032318256456,0.0123787538843386,0.888778175847141,0.218345860132563,0.977099604354777,0.0273765158333059,0.986478282126558,0.022274307665565
"mf_clin_glm",0.702129049111808,0.0572352619080535,0.64679802955665,0.138915559582625,0.997492163009404,0.00560769398746027,1,0,1,0,0.989942857142857,0.0210294685798961
"sm_clin_glm",0.64115539632781,0.13262503025061,0.6771421107628,0.107952012902672,0.990158978952082,0.00721236920149125,0.991912972085386,0.0116589157969882,0.967422068608276,0.0222312013732614,0.995897078655699,0.00482503536270216
"wv_clin_glm",0.661690177638454,0.108444671026862,0.665325048514704,0.111613290749808,0.974580161218092,0.00802858414826342,0.981318107180176,0.0204869361388321,0.968454223809396,0.0344230344423602,0.969638167707133,0.0321375981697778
"clin_only_glm",0.655559598447529,0.108508364077406,0.668067062248097,0.107853772852112,0.634211262875056,0.129165016057941,0.671233579638752,0.106518362122004,0.823567952354159,0.059061406690427,0.829821913846052,0.0452953158846949
"bp_only_glm",0.511817062248097,0.0191685349018379,0.484012539184953,0.039300769283675,0.998119122257053,0.00280384699373016,0.998119122257053,0.00420577049059524,0.9,0.223606797749979,1,0
"fe_only_glm",0.503134796238245,0.0247579451393907,0.515673981191223,0.0224690770953471,0.999373040752351,0.00140192349686508,0.991849529780564,0.0103019916772132,0.999404761904762,0.00133099284374987,0.897619047619048,0.222335571998643
"fp_only_glm",0.495210105985968,0.0381870489492325,0.473076205403792,0.0442352872495414,0.999373040752351,0.00140192349686508,0.998746081504702,0.00280384699373016,1,0,0.999404761904762,0.00133099284374987
"mf_only_glm",0.531347962382445,0.0576112098730066,0.494167039856695,0.0627377996953064,0.895611285266458,0.221290859637967,0.989341692789969,0.0156111593705188,0.999404761904762,0.00133099284374987,0.991603224361845,0.0155103899718488
"sm_only_glm",0.501567398119122,0.00350480874216267,0.479310344827586,0.0490973544174024,0.998119122257053,0.00420577049059524,0.995643006418868,0.00476512850341088,1,0,0.998214285714286,0.00399297853124966
"wv_only_glm",0.473520301537543,0.0367201212122576,0.47032579489476,0.0454831478824629,0.897492163009404,0.22222698551098,0.998119122257053,0.00420577049059524,1,0,1,0
