"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_lda",0.701907001044932,0.0613007926003525,0.70745447081654,0.0694668053528816,0.975770637408568,0.0169878057236545,0.993825570980743,0.00374698631990481,0.976750404767646,0.0191003811241957,0.995452455590387,0.0063800373057012
"fe_clin_lda",0.701875279892521,0.0658245909287042,0.710620988207195,0.0636196317908438,1,0,0.997492163009404,0.00262275870386859,1,0,1,0
"fp_clin_lda",0.703756157635468,0.0651080313395645,0.704914912673533,0.067161930696761,0.972262651141961,0.0165398482619135,0.990627332437677,0.011105812491448,0.989541760538312,0.00710367592035189,0.996331870428422,0.00681008305243946
"mf_clin_lda",0.702565681444992,0.0637887277193498,0.709430512016719,0.0600741951213951,1,0,1,0,1,0,1,0
"sm_clin_lda",0.699994402149575,0.0661705807320577,0.704383116883117,0.0640773702718398,0.983952828780415,0.0149244286821478,0.995643006418868,0.00476512850341088,0.989189564968875,0.0137170935466404,0.99824446932378,0.00161139136627613
"wv_clin_lda",0.706232273473653,0.0644032165693261,0.708049708911778,0.0708523756210717,0.972826168084789,0.017142857260657,0.991317733990148,0.00559842417570202,0.993043160160402,0.00541361592393469,0.994136632333184,0.00700738488899089
"clin_only_lda",0.700637221973429,0.0626462575246046,0.700637221973429,0.0626462575246046,0.700637221973429,0.0626462575246046,0.700637221973429,0.0626462575246046,0.826522094763474,0.0381471146082528,0.826522094763474,0.0381471146082528
"bp_only_lda",0.509309225257501,0.0213199812435691,0.488675548589342,0.0553549702439822,1,0,1,0,1,0,1,0
"fe_only_lda",0.490659053590088,0.0475469792531366,0.48670697118973,0.063658629897424,1,0,0.998119122257053,0.00420577049059524,1,0,1,0
"fp_only_lda",0.490507911628601,0.0388908258437697,0.467120092551127,0.0475416049299608,1,0,1,0,1,0,1,0
"mf_only_lda",0.531943200477683,0.0572204010073018,0.494167039856695,0.0627377996953064,1,0,1,0,1,0,1,0
"sm_only_lda",0.505801238990894,0.0163198227817733,0.472762725779967,0.0478146090229004,1,0,0.999373040752351,0.00140192349686508,1,0,1,0
"wv_only_lda",0.468818107180176,0.0489580374834851,0.491015450067174,0.0836984644691755,1,0,1,0,1,0,1,0
