"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_knn",0.678609680549336,0.0741153071226735,0.675618562472011,0.108858644211757,0.752817584714136,0.0716705134068165,0.743353485594865,0.143075019663189,0.850804030643686,0.0843991154612745,0.844673657185726,0.0597903072754166
"fe_clin_knn",0.70212065233617,0.140788547924449,0.666756232273474,0.0768908113541747,0.911455067920585,0.0666750970915406,0.858310008956561,0.0447953482660152,0.947197901778936,0.034049836207048,0.928345299272885,0.027943740909864
"fp_clin_knn",0.700215517241379,0.0890326735334881,0.703885841170324,0.0881349370540964,0.803331653978206,0.0899796731706573,0.816481937602627,0.045986605483034,0.890653137539344,0.0363070599752396,0.878834502470709,0.0585426521427267
"mf_clin_knn",0.815934281236005,0.0651876499053797,0.836374832064487,0.0582082511196371,0.91568144499179,0.0413326244845419,0.942152746678609,0.0431716856646679,0.971494331466745,0.0181397892953993,0.949654463544119,0.0142465751664391
"sm_clin_knn",0.680400059710405,0.109869679578997,0.671482683982684,0.0920749860561379,0.80646645021645,0.0853683826242132,0.847774854455889,0.0621367099061843,0.878876910892428,0.045374248472851,0.884375061209544,0.0569437090772286
"wv_clin_knn",0.708609493954322,0.118188584090226,0.761508247499627,0.0934994089287645,0.757551500223914,0.0562245223673042,0.812783624421555,0.0679543751884696,0.875164496167944,0.0564841428069565,0.846145401214367,0.050914838580867
"clin_only_knn",0.672963315420212,0.091566152847461,0.704358859531273,0.0682362633956233,0.670816539782057,0.097745266548426,0.62316763696074,0.0763180706790723,0.780392993086097,0.0742206387112741,0.772659659752763,0.0818032257536789
"bp_only_knn",0.894245409762651,0.0482705858845083,0.893650171667413,0.0279064946231514,0.99783736378564,0.00208628329823734,0.998761942080908,0.000692946782586626,1,0,1,0
"fe_only_knn",0.936399089416331,0.0232171235368592,0.89547973578146,0.0470201813006782,0.999686520376176,0.000700961748432515,0.9932144723093,0.0055115098602181,1,0,1,0
"fp_only_knn",0.903843857292133,0.0577898200592964,0.907034632034632,0.0182859324837134,1,0,0.999091282280937,0.00134029914102259,1,0,1,0
"mf_only_knn",0.961901962979549,0.0170625230946307,0.922824302134647,0.102343417280395,0.999686520376176,0.000700961748432564,0.998432601880878,0.00221663567770083,1,0,0.99819842513808,0.00322447913969711
"sm_only_knn",0.896043252724287,0.0504223209313534,0.847639573070608,0.0526403235515081,0.999686520376176,0.000700961748432564,0.999373040752351,0.000858499306434465,1,0,0.998537342287342,0.00208265613162712
"wv_only_knn",0.879380317957904,0.0425814986502609,0.868781721152411,0.0420422121012265,0.997805642633229,0.00210288524529764,0.998746081504702,0.00280384699373011,0.999686520376176,0.000700961748432564,1,0
