"","tod_GOSE_self_val.mean","tod_GOSE_self_val.stddev","tfr_GOSE_self_val.mean","tfr_GOSE_self_val.stddev","tod_fav_self_val.mean","tod_fav_self_val.stddev","tfr_fav_self_val.mean","tfr_fav_self_val.stddev","tod_death_self_val.mean","tod_death_self_val.stddev","tfr_death_self_val.mean","tfr_death_self_val.stddev"
"bp_clin_knn",0.745717797725151,0.0543796337731858,0.782623440285205,0.0276401420684975,0.795193505432476,0.0617689336876645,0.792802287581699,0.0470292102421891,0.846759862944073,0.0573313633766176,0.847048521653785,0.0528329983954746
"fe_clin_knn",0.825349100246159,0.0457477960374175,0.792327837195484,0.0474636016577749,0.910432189542484,0.0417655286737572,0.894337863933452,0.0312522410415647,0.965063898090214,0.0193729669807927,0.926862348178138,0.040941767682358
"fp_clin_knn",0.764091291061879,0.0507976907548377,0.787415807231984,0.0576996187453894,0.827178714667685,0.0422402808295514,0.822371705500382,0.0700886838912442,0.89349299822984,0.0429009959123547,0.858584062136694,0.0473346456084857
"mf_clin_knn",0.855243856633563,0.0394556461459716,0.835218429038282,0.0368275555722161,0.93890015703251,0.012133934062229,0.942025804261098,0.0385789503673131,0.98365336417968,0.012650954554535,0.963234002839266,0.0308532683121478
"sm_clin_knn",0.733370755878109,0.0590887394566122,0.778034891987098,0.0655546744339002,0.833413833715304,0.0332646967944601,0.838307274424921,0.0475711012942599,0.904901808717598,0.0330048900942203,0.899520917678812,0.0273995517958692
"wv_clin_knn",0.741770944741533,0.0940763855201904,0.763874236058059,0.0464650530428602,0.803673202614379,0.0574082411232023,0.825810478736949,0.0533106146738511,0.86437650069229,0.0196917990285055,0.85295713058871,0.0583491731151318
"clin_only_knn",0.692539210381122,0.0770095168162332,0.694246026440879,0.0574660549236423,0.690891064001358,0.0688011833536572,0.707817980222392,0.0731674661373683,0.765203948098685,0.0544650919444689,0.755325084272453,0.0496760695228461
"bp_only_knn",0.909259512138189,0.0265464273713331,0.936325937950938,0.027128109554116,1,0,1,0,1,0,0.999122807017544,0.00196146313815772
"fe_only_knn",0.931545539427892,0.0165003543171604,0.889167950513539,0.0427724393667732,0.998857142857143,0.00255550625999979,0.995453017570665,0.00641589391871788,1,0,1,0
"fp_only_knn",0.910830643621085,0.0217904544802067,0.90217724514048,0.0190988538901403,1,0,0.999619047619048,0.000851835419999947,1,0,1,0
"mf_only_knn",0.956514504286563,0.0103165324207631,0.920233209192768,0.0549820974962128,1,0,0.996952380952381,0.00681468335999938,1,0,1,0
"sm_only_knn",0.900596500721501,0.0537980636514847,0.902460911637382,0.0201367812015649,1,0,0.999428571428571,0.00085183541999994,1,0,0.999560921534606,0.000601233553732668
"wv_only_knn",0.911435123291741,0.0209066586879353,0.896927462651727,0.0333185086787072,0.99941770647653,0.000891661627204008,1,0,1,0,1,0
